name,source,complexid,saftype,pri_add,modified,faci_dom,facility_t,b7_sc,placeid,bin,sos,segmentid,borough,created,latitude,longitude,nad83_x,nad83_y,borough_name,facility_t_name,is_test
HARLEM RIVER PARK,OTHER,0,N,0.0,2015-06-26,8,6,23813501,1018205,0,2,129971,2,2013-01-18,40.85251099580629,-73.92138723059898,306.62816382613033,76.16342094883653,Bronx,Transportation Facility,False
HIGH ISLAND,OTHER,0,N,0.0,2014-12-03,8,6,20042101,1025552,0,1,282294,2,2014-12-03,40.858267569500086,-73.78792311143854,317.8805412660546,76.82136141899562,Bronx,Transportation Facility,False
HENRY HUDSON BRIDGE NB RB,OTHER,3599,N,0.0,,8,6,19741003,1026889,0,2,238464,1,2015-10-16,40.87646658243171,-73.924162427158,306.3918510579613,78.82349356562086,Manhattan,Transportation Facility,False
HENRY HUDSON BRIDGE SB RB,OTHER,3599,N,0.0,,8,6,19741002,1026890,0,2,238464,1,2015-10-16,40.8764871256308,-73.92413116209111,306.3944844599278,78.82577718429776,Manhattan,Transportation Facility,False
HENRY HUDSON BRIDGE SB RB,OTHER,0,N,0.0,,8,6,29831002,1026891,0,1,143394,2,2015-10-16,40.87819446834413,-73.92154984417546,306.6118976195223,79.01557046787215,Bronx,Transportation Facility,False
HENRY HUDSON BRIDGE NB RB,OTHER,0,N,0.0,,8,6,29831003,1026892,0,1,143394,2,2015-10-16,40.87816625834848,-73.92159246792674,306.60830769922757,79.01243451054815,Bronx,Transportation Facility,False
GEORGE WASHINGTON BR LOWER LEVEL,OTHER,0,N,0.0,2019-12-20,8,6,19781008,1026893,0,1,9014773,1,2015-10-16,40.85124357437054,-73.95054354422797,304.16972959278974,76.02087629602612,Manhattan,Transportation Facility,False
GEORGE WASHINGTON BR UPPER LEVEL,OTHER,0,N,0.0,2019-12-20,8,6,19781007,1026894,0,1,9014077,1,2015-10-16,40.85123097024666,-73.95047951067171,304.1751299141497,76.01947965573868,Manhattan,Transportation Facility,False
ED KOCH QUEENSBORO BR UPPER RDWY,OTHER,0,N,0.0,,8,6,19792002,1026895,0,1,138891,1,2015-10-16,40.75838361317761,-73.9580079079661,303.5452520650681,65.70850673271087,Manhattan,Transportation Facility,False
ED KOCH QUEENSBORO BR LOWER RDWY,OTHER,0,N,0.0,,8,6,19792003,1026896,0,1,158838,1,2015-10-16,40.75841793372376,-73.95808568715634,303.53868247558006,65.71231483503007,Manhattan,Transportation Facility,False
ED KOCH QUEENSBORO BR UPPER RDWY,OTHER,0,N,0.0,,8,6,49734003,1026897,0,1,138883,4,2015-10-16,40.75524409106362,-73.95076277848078,304.15723523024946,65.36018593985422,Queens,Transportation Facility,True
ED KOCH QUEENSBORO BR LOWER RDWY,OTHER,0,N,0.0,,8,6,49734004,1026898,0,1,138884,4,2015-10-16,40.755191475368036,-73.95064228884173,304.1674132877354,65.35434877075282,Queens,Transportation Facility,False
