name,latitude,longitude,state_id,state_name,county_fips,population,density,timezone,entity_type,entity_subtype,page_views,is_test
Audubon County,41.6846,-94.9058,IA,Iowa,19009.0,5657.0,,America/Chicago,county,,,False
Cameron Parish,29.8754,-93.1937,LA,Louisiana,22023.0,5650.0,,America/Chicago,county,,,True
Dixon County,42.4931,-96.8677,NE,Nebraska,31051.0,5632.0,,America/Chicago,county,,,False
Tripp County,43.3459,-99.884,SD,South Dakota,46123.0,5615.0,,America/Chicago,county,,,False
Cotton County,34.2902,-98.3722,OK,Oklahoma,40033.0,5603.0,,America/Chicago,county,,,False
Lynn County,33.1768,-101.8161,TX,Texas,48305.0,5587.0,,America/Chicago,county,,,True
Greer County,34.9357,-99.5608,OK,Oklahoma,40055.0,5548.0,,America/Chicago,county,,,False
Luce County,46.4707,-85.5444,MI,Michigan,26095.0,5520.0,,America/Detroit,county,,,False
Cherry County,42.545,-101.1186,NE,Nebraska,31031.0,5505.0,,America/Denver,county,,,True
Day County,45.3671,-97.6074,SD,South Dakota,46037.0,5487.0,,America/Chicago,county,,,False
Hartley County,35.84,-102.6029,TX,Texas,48205.0,5465.0,,America/Chicago,county,,,False
Norton County,39.7844,-99.9035,KS,Kansas,20137.0,5457.0,,America/Chicago,county,,,False
Mahnomen County,47.3253,-95.8091,MN,Minnesota,27087.0,5429.0,,America/Chicago,county,,,True
Hansford County,36.2774,-101.3546,TX,Texas,48195.0,5332.0,,America/Chicago,county,,,False
Coal County,34.5882,-96.2978,OK,Oklahoma,40029.0,5294.0,,America/Chicago,county,,,False
Crosby County,33.6147,-101.3,TX,Texas,48107.0,5265.0,,America/Chicago,county,,,False
Wirt County,39.0224,-81.3787,WV,West Virginia,54105.0,5264.0,,America/New_York,county,,,True
Brule County,43.7181,-99.0809,SD,South Dakota,46015.0,5247.0,,America/Chicago,county,,,False
Big Stone County,45.4261,-96.411,MN,Minnesota,27011.0,5155.0,,America/Chicago,county,,,False
Kingsbury County,44.3696,-97.4915,SD,South Dakota,46077.0,5131.0,,America/Chicago,county,,,False
Thayer County,40.1762,-97.595,NE,Nebraska,31169.0,5053.0,,America/Chicago,county,,,False
Pickett County,36.5584,-85.0749,TN,Tennessee,47137.0,5021.0,,America/Chicago,county,,,False
Dickey County,46.1102,-98.5047,ND,North Dakota,38021.0,5013.0,,America/Chicago,county,,,True
Toole County,48.6554,-111.6956,MT,Montana,30101.0,5013.0,,America/Denver,county,,,False
Rooks County,39.3502,-99.325,KS,Kansas,20163.0,4975.0,,America/Chicago,county,,,False
Jim Hogg County,27.0434,-98.6973,TX,Texas,48247.0,4864.0,,America/Chicago,county,,,False
Ouray County,38.1555,-107.7693,CO,Colorado,8091.0,4850.0,,America/Denver,county,,,False
Carlisle County,36.8532,-88.971,KY,Kentucky,21039.0,4821.0,,America/Chicago,county,,,False
Musselshell County,46.4966,-108.3981,MT,Montana,30065.0,4813.0,,America/Denver,county,,,False
Ringgold County,40.7352,-94.244,IA,Iowa,19159.0,4739.0,,America/Chicago,county,,,False
Republic County,39.8278,-97.6506,KS,Kansas,20157.0,4707.0,,America/Chicago,county,,,False
Hyde County,35.5305,-76.2509,NC,North Carolina,37095.0,4697.0,,America/New_York,county,,,False
Hot Springs County,43.719,-108.4422,WY,Wyoming,56017.0,4673.0,,America/Denver,county,,,False
Furnas County,40.1764,-99.9123,NE,Nebraska,31065.0,4655.0,,America/Chicago,county,,,False
Crane County,31.4286,-102.5156,TX,Texas,48103.0,4654.0,,America/Chicago,county,,,False
Schley County,32.2617,-84.3148,GA,Georgia,13249.0,4622.0,,America/New_York,county,,,True
Morrill County,41.716,-103.0104,NE,Nebraska,31123.0,4595.0,,America/Denver,county,,,True
Wahkiakum County,46.2918,-123.4244,WA,Washington,53069.0,4373.0,,America/Los_Angeles,county,,,False
Kimble County,30.4868,-99.7487,TX,Texas,48267.0,4295.0,,America/Chicago,county,,,False
Deuel County,44.76,-96.668,SD,South Dakota,46039.0,4283.0,,America/Chicago,county,,,False
Tensas Parish,32.0018,-91.3401,LA,Louisiana,22107.0,4269.0,,America/Chicago,county,,,False
Mora County,36.0105,-104.9449,NM,New Mexico,35033.0,4232.0,,America/Denver,county,,,False
Kittson County,48.7766,-96.7829,MN,Minnesota,27069.0,4213.0,,America/Chicago,county,,,False
Barber County,37.2289,-98.6848,KS,Kansas,20007.0,4178.0,,America/Chicago,county,,,True
LaMoure County,46.4569,-98.5355,ND,North Dakota,38045.0,4173.0,,America/Chicago,county,,,False
Sharkey County,32.8798,-90.8132,MS,Mississippi,28125.0,4160.0,,America/Chicago,county,,,False
Nuckolls County,40.1764,-98.0472,NE,Nebraska,31129.0,4125.0,,America/Chicago,county,,,False
Owsley County,37.4192,-83.6831,KY,Kentucky,21189.0,4094.0,,America/New_York,county,,,True
Storey County,39.447,-119.5294,NV,Nevada,32029.0,4047.0,,America/Los_Angeles,county,,,False
Kearny County,38.0003,-101.3199,KS,Kansas,20093.0,4019.0,,America/Chicago,county,,,False
Edmunds County,45.4188,-99.2153,SD,South Dakota,46045.0,4005.0,,America/Chicago,county,,,False
Gregory County,43.1924,-99.1856,SD,South Dakota,46053.0,4004.0,,America/Chicago,county,,,True
Corson County,45.7086,-101.1969,SD,South Dakota,46031.0,3965.0,,America/Denver,county,,,True
Red Lake County,47.8717,-96.0953,MN,Minnesota,27125.0,3921.0,,America/Chicago,county,,,False
Sargent County,46.1078,-97.6306,ND,North Dakota,38081.0,3839.0,,America/Chicago,county,,,False
Lake of the Woods County,48.7712,-94.9046,MN,Minnesota,27077.0,3757.0,,America/Chicago,county,,,False
Lyman County,43.8958,-99.8474,SD,South Dakota,46085.0,3746.0,,America/Chicago,county,,,True
Cavalier County,48.7723,-98.4648,ND,North Dakota,38019.0,3725.0,,America/Chicago,county,,,False
Fisher County,32.7428,-100.4022,TX,Texas,48151.0,3720.0,,America/Chicago,county,,,False
Norton City,36.9314,-82.6262,VA,Virginia,51720.0,3696.0,,America/New_York,county,,,True
Echols County,30.7101,-82.894,GA,Georgia,13101.0,3691.0,,America/New_York,county,,,True
Sweet Grass County,45.8138,-109.941,MT,Montana,30097.0,3690.0,,America/Denver,county,,,False
Kimball County,41.1978,-103.7149,NE,Nebraska,31105.0,3583.0,,America/Denver,county,,,False
Catron County,33.9152,-108.4046,NM,New Mexico,35003.0,3581.0,,America/Denver,county,,,False
Baca County,37.3192,-102.5605,CO,Colorado,8009.0,3519.0,,America/Denver,county,,,False
Costilla County,37.2781,-105.4282,CO,Colorado,8023.0,3517.0,,America/Denver,county,,,False
